_id,_name,_capacity,_grass,_city,_state,_zip,_country_code,_location,_elevation,_year,_dome,_timezone,discriminator
4113,Tropicana Field,31042,False,Saint Petersburg,FL,33705,US,"{'x': 27.768333, 'y': -82.653333}",12.19581413,,False,America/New_York,
3962,Tucker Stadium,16500,False,Cookeville,TN,38501,US,"{'x': 36.1780555, 'y': -85.506183}",340.8609314,,False,America/Chicago,
5015,Turner Stadium,4400,,Upland,IN,92602,US,"{'x': 40.456862, 'y': -85.501228}",282.0275574,,False,,
3965,UB Stadium,29013,False,Amherst,NY,14260,US,"{'x': 42.9991334, 'y': -78.7775113}",181.5759735,,False,America/New_York,
3967,UNI-Dome,16000,False,Cedar Falls,IA,50614,US,"{'x': 42.5156111, 'y': -92.4672307}",281.8959656,,False,America/Chicago,
3969,University Field (NY),10000,True,Albany,NY,12206,US,"{'x': 42.680981, 'y': -73.827276}",70.1,,False,America/New_York,
3970,University of Phoenix Stadium,63400,True,Glendale,AZ,85305,US,"{'x': 33.527607, 'y': -112.262559}",325.6211243,,False,America/Phoenix,
3971,University Stadium,39224,False,Albuquerque,NM,87131,US,"{'x': 35.0669479, 'y': -106.6283225}",1554.471924,,False,America/Denver,
3973,Vanderbilt Stadium,40350,False,Nashville,TN,37212,US,"{'x': 36.1440455, 'y': -86.8088942}",159.9194641,,False,America/Chicago,
3974,Vaught-Hemingway Stadium,64038,True,Oxford,MS,38677,US,"{'x': 34.3619837, 'y': -89.5342076}",146.8517151,,False,America/Chicago,
3975,Veterans Memorial Stadium,30000,False,Troy,AL,36082,US,"{'x': 31.7995565, 'y': -85.9518328}",154.7746277,,False,America/Chicago,
717,Villanova Stadium,12500,False,Villanova,PA,19085,US,"{'x': 40.0343329, 'y': -75.3367666}",127.3836746,,False,America/New_York,
3979,Wagner College Stadium,3300,False,Staten Island,NY,10301,US,"{'x': 40.614688, 'y': -74.090639}",63.39014053,,False,America/New_York,
3980,Waldo Stadium,30200,False,Kalamazoo,MI,49008,US,"{'x': 42.2860064, 'y': -85.6007573}",243.8211212,,False,America/Detroit,
2023,Walkup Skydome,15300,False,Flagstaff,AZ,86001,US,"{'x': 35.1805483, 'y': -111.6528377}",2097.884766,,False,America/Phoenix,
3982,Wallace Wade Stadium,40000,False,Durham,NC,27708,US,"{'x': 35.9953688, 'y': -78.9417564}",103.0028152,,False,America/New_York,
3983,War Memorial Stadium,54120,False,Little Rock,AR,72205,US,"{'x': 34.749848, 'y': -92.330127}",112.1398163,,False,America/Chicago,
3984,War Memorial Stadium,29181,False,Laramie,WY,82071,US,"{'x': 41.31161, 'y': -105.5681384}",2200.153564,,False,America/Denver,
3985,Warren McGuirk Alumni Stadium,17000,False,Hadley,MA,1003 ,US,"{'x': 42.3773244, 'y': -72.5360595}",46.58664703,,False,America/New_York,
3987,Washington-Grizzly Stadium,25200,False,Missoula,MT,59812,US,"{'x': 46.8638753, 'y': -113.9815042}",970.345459,,False,America/Denver,
3988,Welcome Stadium,11000,False,Dayton,OH,45417,US,"{'x': 39.7369239, 'y': -84.1981068}",222.4020081,,False,America/New_York,
3688,Wildcat Stadium,11015,False,Durham,NH,3824 ,US,"{'x': 43.1386231, 'y': -70.9393077}",19.05943298,,False,America/New_York,
5440,Wildcat Stadium (TX),12000,False,Abilene,TX,79601,US,"{'x': 32.472275, 'y': -99.710464}",520.9,,False,America/Chicago,
5400,William B. Greene Jr. Stadium,7694,False,Johnson City,TN,37604,US,"{'x': 36.299084, 'y': -82.374117}",512.5,,False,America/New_York,
3991,"William Dick"""" Price Stadium""""",30000,False,Norfolk,VA,23504,US,"{'x': 36.8469442, 'y': -76.2600839}",4.916433334,,False,America/New_York,
3990,William H. Greene Stadium,7086,False,Washington,DC,20059,US,"{'x': 38.925487, 'y': -77.021047}",53.46718979,,False,America/New_York,
3994,Williams-Brice Stadium,80250,True,Columbia,SC,29208,US,"{'x': 33.9730239, 'y': -81.0191726}",60.54548645,,False,America/New_York,
3992,Williams Stadium,19200,False,Lynchburg,VA,24502,US,"{'x': 37.3544305, 'y': -79.1750239}",272.9237061,,False,America/New_York,
4250,Wrigley Field,0,,Chicago,IL,60654,US,"{'x': 41.8755616, 'y': -87.6244212}",,,False,,
3996,Yager Stadium,24286,False,Oxford,OH,45056,US,"{'x': 39.5197009, 'y': -84.7330255}",242.2643585,,False,America/New_York,
3997,Yale Bowl,61446,False,New Haven,CT,6520 ,US,"{'x': 41.3132441, 'y': -72.9605333}",5.302621841,,False,America/New_York,
4102,Yankee Stadium,54251,False,New York,NY,10451,US,"{'x': 40.829167, 'y': -73.926389}",6.745362282,,False,America/New_York,
3998,Zable Stadium,12259,False,Williamsburg,VA,23186,US,"{'x': 37.2730996, 'y': -76.7137202}",26.07615852,,False,America/New_York,
