_season,_player_id,_player,_team,_conference,_category,_stat_type,_stat,discriminator
,535269,James Langford,California,Pac-12,kicking,LONG,47.0,
,516956,Trevor Davis,California,Pac-12,receiving,YDS,399.0,
,3140840,Scott Hester,Air Force,Mountain West,rushing,CAR,5.0,
,519812,Garrett Krstich,SMU,American Athletic,passing,YPA,4.7,
,502907,LaMar Bratton,New Mexico,Mountain West,receiving,TD,0.0,
,3125958,Matthew Wylie,UMass,Mid-American,kicking,XPM,1.0,
,532637,Corey Jones,Toledo,Mid-American,kickReturns,TD,0.0,
,532144,Boone Niederhofer,Texas A&M,SEC,receiving,REC,29.0,
,517985,Chandler Worthy,Troy,Sun Belt,receiving,REC,44.0,
,531738,Ryan Kay,Troy,Sun Belt,kicking,FGA,14.0,
,530745,Damarius Travis,Minnesota,Big Ten,interceptions,YDS,17.0,
,552748,Rodney Adams,South Florida,American Athletic,receiving,TD,2.0,
,512481,Kyle Bullard,Houston,American Athletic,kicking,LONG,51.0,
,536197,Cody Core,Ole Miss,SEC,rushing,LONG,30.0,
,531316,Ryan Higgins,Louisiana Tech,Conference USA,passing,YPA,6.9,
,480746,Bryce Petty,Baylor,Big 12,passing,ATT,428.0,
,531058,Adrian Colbert,Texas,Big 12,interceptions,AVG,0.0,
,537017,Daniel Rodriguez,Clemson,ACC,receiving,TD,0.0,
,501203,E.J. Scott,Wake Forest,ACC,receiving,YPR,10.3,
,3128394,Colin Downing,Iowa State,Big 12,punting,YDS,2720.0,
,3126139,Anthony Scott,East Carolina,American Athletic,kickReturns,AVG,12.0,
,546471,Austin Hooper,Stanford,Pac-12,receiving,TD,2.0,
,514248,Tyler Wedel,Northern Illinois,Mid-American,rushing,TD,0.0,
,514601,Zach D'Orazio,Akron,Mid-American,passing,TD,0.0,
,531137,Dondre Daley,Iowa State,Big 12,receiving,REC,21.0,
,545557,Brett Nelson,Louisville,ACC,passing,INT,0.0,
,534429,Jamie Keehn,LSU,SEC,punting,NO,71.0,
,500220,Isaiah Johnson,Georgia Tech,ACC,interceptions,AVG,19.0,
,502538,Da'Ron Brown,Northern Illinois,Mid-American,receiving,LONG,64.0,
,500400,Ibraheim Campbell,Northwestern,Big Ten,interceptions,YDS,79.0,
,516251,Doran Grant,Ohio State,Big Ten,interceptions,YDS,106.0,
,3140810,Fred Mcrae Iv,Miami (OH),Mid-American,receiving,REC,3.0,
,512198,Hunter Joyer,Florida,SEC,kickReturns,TD,0.0,
,3128725,Shakenneth Williams,Georgia,SEC,receiving,LONG,35.0,
,532069,Jason Croom,Tennessee,SEC,receiving,YDS,305.0,
,-6810, Team,Navy,FBS Independents,passing,YPA,0.0,
,3126080,Papi White,Ohio,Mid-American,rushing,YPC,3.8,
,516354,Evan Crower,Stanford,Pac-12,passing,INT,0.0,
,532946,Montay Crockett,Georgia Southern,Sun Belt,receiving,LONG,37.0,
,545238,Mitch Trubisky,North Carolina,ACC,passing,YDS,459.0,
,558115,Wade Hansen,Virginia Tech,ACC,kickReturns,TD,0.0,
,503821,Jarrod West,Syracuse,ACC,passing,PCT,0.0,
,512362,Harley Scioneaux,Louisiana Monroe,Sun Belt,receiving,YPR,4.4,
,545623,Eli Apple,Ohio State,Big Ten,interceptions,TD,0.0,
,530527,Joel Caleb,Virginia Tech,ACC,kickReturns,TD,0.0,
,505326,Jordan Williamson,Stanford,Pac-12,kicking,FGA,22.0,
,518382,John Chelf,North Texas,Conference USA,receiving,TD,0.0,
,546030,Jack Williams,Kent State,Mid-American,passing,ATT,1.0,
,535812,Ricky Jones,Indiana,Big Ten,receiving,REC,3.0,
,550814,Jacquille Veii,Maryland,Big Ten,receiving,YDS,230.0,
,3139485,Justin Stockton,Texas Tech,Big 12,rushing,YDS,396.0,
,534232,D.J. May,Wyoming,Mountain West,rushing,LONG,58.0,
,3121552,Natrell Jamerson,Wisconsin,Big Ten,rushing,YDS,23.0,
,550193,Damon Washington,Miami (OH),Mid-American,rushing,TD,0.0,
,515612,Richard Leonard,Florida International,Conference USA,interceptions,INT,5.0,
,545740,Justin Chavez,UT San Antonio,Conference USA,puntReturns,TD,0.0,
,517963,Trey Page,Troy,Sun Belt,receiving,TD,0.0,
,550288,Cameron Walker,California,Pac-12,interceptions,INT,1.0,
,548077,Ryan Smith,Duke,ACC,puntReturns,TD,0.0,
,530542,Donovan Riley,Virginia Tech,ACC,interceptions,YDS,75.0,
,546655,Matt Galambos,Pittsburgh,ACC,interceptions,YDS,19.0,
,517617,Ben Koyack,Notre Dame,FBS Independents,receiving,LONG,28.0,
,3125954,Matt Tuleja,UMass,Mid-American,receiving,YDS,22.0,
,3124976,Cassius Corley,New Mexico State,Sun Belt,interceptions,AVG,0.0,
,515592,Alexander Kinal,Wake Forest,ACC,rushing,TD,0.0,
,536996,Montres Kitchens,Troy,Sun Belt,kickReturns,AVG,19.0,
,503007,Tajh Hasson,UNLV,Mountain West,interceptions,TD,0.0,
,3121409,Noah Brown,Ohio State,Big Ten,receiving,YPR,9.0,
,536060,Dylan Mulder,Eastern Michigan,Mid-American,kicking,PTS,37.0,
,517748,Cole Hubble,UT San Antonio,Conference USA,rushing,TD,0.0,
,559642,Jeremy Liggins,Ole Miss,SEC,rushing,TD,2.0,
,381477,Jefferson Court,Utah State,Mountain West,receiving,LONG,10.0,
,546267,Nick Stevens,Colorado State,Mountain West,rushing,LONG,0.0,
,502011,Sidney Rhodes,South Carolina,SEC,kickReturns,TD,0.0,
,542080,Dwayne Washington,Washington,Pac-12,rushing,CAR,132.0,
,3129139,John Trainor,Army,FBS Independents,receiving,TD,0.0,
,547090,Trevor Roop,Bowling Green,Mid-American,receiving,TD,0.0,
