_team,_conference,_position_group,_average_rating,_total_rating,_commits,_average_stars,discriminator
Arkansas State,Sun Belt,All Positions,0.774551561466358,273.416,353.0,2.3456090651558075,
Army,FBS Independents,All Positions,0.766614243246799,404.005,527.0,2.1043643263757117,
Auburn,SEC,All Positions,0.881339659441763,413.348,469.0,3.388059701492537,
Ball State,Mid-American,All Positions,0.77935918242964,284.466,365.0,2.3013698630136985,
Baylor,Big 12,All Positions,0.835295400046327,326.6,391.0,2.9028132992327365,
Boise State,Mountain West,All Positions,0.813373558941623,295.255,363.0,2.6887052341597797,
Boston College,ACC,All Positions,0.834985186288386,338.169,405.0,2.94320987654321,
Bowling Green,Mid-American,All Positions,0.783058843076831,310.091,396.0,2.356060606060606,
Buffalo,Mid-American,All Positions,0.772529158230773,264.977,343.0,2.239067055393586,
BYU,FBS Independents,All Positions,0.816125389398673,318.289,390.0,2.7205128205128206,
California,Pac-12,All Positions,0.859423015052325,313.689,365.0,3.158904109589041,
Central Michigan,Mid-American,All Positions,0.777691370577549,324.297,417.0,2.3189448441247,
Charlotte,Conference USA,All Positions,0.784303945930381,119.214,152.0,2.3684210526315788,
Cincinnati,American Athletic,All Positions,0.812495623513595,315.248,388.0,2.698453608247423,
Clemson,ACC,All Positions,0.883125961973117,367.38,416.0,3.4326923076923075,
Coastal Carolina,Sun Belt,All Positions,0.78375229064156,119.914,153.0,2.3333333333333335,
Colorado,Pac-12,All Positions,0.83679927552788,344.761,412.0,2.9466019417475726,
Colorado State,Mountain West,All Positions,0.792818864433109,319.506,403.0,2.501240694789082,
Connecticut,American Athletic,All Positions,0.789896282753341,318.328,403.0,2.4764267990074442,
Duke,ACC,All Positions,0.820680979257677,336.479,410.0,2.7658536585365856,
East Carolina,American Athletic,All Positions,0.788344300552135,297.206,377.0,2.46684350132626,
Eastern Michigan,Mid-American,All Positions,0.767146450737135,280.775,366.0,2.221311475409836,
Florida,SEC,All Positions,0.907701324679731,411.189,453.0,3.6666666666666665,
Florida Atlantic,Conference USA,All Positions,0.790649608476087,202.406,256.0,2.4921875,
Florida International,Conference USA,All Positions,0.788415956191527,276.734,351.0,2.396011396011396,
Florida State,ACC,All Positions,0.90682067348716,403.535,445.0,3.6719101123595506,
Fresno State,Mountain West,All Positions,0.794610822932762,271.757,342.0,2.508771929824561,
Georgia,SEC,All Positions,0.90797043585259,417.666,460.0,3.6804347826086956,
Georgia Southern,Sun Belt,All Positions,0.799635397919108,142.335,178.0,2.5168539325842696,
Georgia State,Sun Belt,All Positions,0.790734526656923,132.843,168.0,2.4345238095238093,
Georgia Tech,ACC,All Positions,0.839740252047777,335.896,400.0,2.935,
Hawai'i,Mountain West,All Positions,0.78509564284595,252.016,321.0,2.411214953271028,
Houston,American Athletic,All Positions,0.808266231441246,306.333,379.0,2.633245382585752,
Illinois,Big Ten,All Positions,0.832353119986908,333.774,401.0,2.8877805486284287,
Indiana,Big Ten,All Positions,0.820268857116163,350.255,427.0,2.747072599531616,
Iowa,Big Ten,All Positions,0.844341355756411,336.892,399.0,2.9899749373433586,
Iowa State,Big 12,All Positions,0.821641323764633,336.051,409.0,2.7995110024449876,
Kansas,Big 12,All Positions,0.824757187873468,287.015,348.0,2.7902298850574714,
Kansas State,Big 12,All Positions,0.82653490608749,298.379,361.0,2.8282548476454292,
Kent State,Mid-American,All Positions,0.770990888330956,287.579,373.0,2.254691689008043,
Kentucky,SEC,All Positions,0.853106118670297,278.966,327.0,3.1009174311926606,
Liberty,FBS Independents,All Positions,0.804357145513807,56.305,70.0,2.6285714285714286,
Louisiana,Sun Belt,All Positions,0.782120005289714,269.831,345.0,2.327536231884058,
Louisiana Monroe,Sun Belt,All Positions,0.766671247432887,295.935,386.0,2.183937823834197,
Louisiana Tech,Conference USA,All Positions,0.795999361727482,248.352,312.0,2.519230769230769,
Louisville,ACC,All Positions,0.835987667555571,318.511,381.0,2.8897637795275593,
LSU,SEC,All Positions,0.908122032880783,428.633,472.0,3.6779661016949152,
Marshall,Conference USA,All Positions,0.795283909995197,301.412,379.0,2.4881266490765173,
Maryland,Big Ten,All Positions,0.847590931490356,345.817,408.0,3.0563725490196076,
