_id,_season,_week,_season_type,_start_date,_start_time_tbd,_neutral_site,_conference_game,_attendance,_venue_id,_venue,_home_id,_home_team,_home_conference,_home_points,_home_line_scores,_home_post_win_prob,_away_id,_away_team,_away_conference,_away_points,_away_line_scores,_away_post_win_prob,_excitement_index,_highlights,_notes,discriminator
401236658,2020,2,regular,2020-09-13T02:00:00.000Z,False,False,False,,3833,Memorial Stadium,2305,Kansas,Big 12,23,"[0, 3, 14, 6]",0.10460907525447793,324,Coastal Carolina,Sun Belt,38,"[14, 14, 0, 10]",0.8953909247455221,3.3118189868,https://www.youtube.com/watch?v=O8AI01dJz_o,,
401240126,2020,3,regular,2020-09-18T23:30:00.000Z,False,False,False,,3654,Brooks Stadium,324,Coastal Carolina,Sun Belt,43,"[14, 7, 7, 15]",0.9989308835370241,2097,Campbell,,21,"[0, 9, 0, 12]",0.0010691164629759164,1.5471460721,https://www.youtube.com/watch?v=4KY782Y_qdI,,
401207124,2020,3,regular,2020-09-19T16:00:00.000Z,False,False,False,,3796,Houchens Industries-L. T. Smith Stadium,98,Western Kentucky,Conference USA,24,"[0, 10, 7, 7]",0.3407499434847815,2335,Liberty,FBS Independents,30,"[10, 7, 7, 6]",0.6592500565152185,5.9776053659,https://www.youtube.com/watch?v=MyVKtxdkIOI,,
401215301,2020,3,regular,2020-09-19T16:00:00.000Z,False,False,True,,4246,Georgia State Stadium,2247,Georgia State,Sun Belt,31,"[7, 7, 7, 7, 3]",0.3222465789124114,309,Louisiana,Sun Belt,34,"[0, 7, 14, 7, 6]",0.6777534210875886,10.516580686,https://www.youtube.com/watch?v=OCBawXf_fu8,,
401212522,2020,3,regular,2020-09-19T16:00:00.000Z,False,False,True,,4729,Benson Field at Yulman Stadium,2655,Tulane,American Athletic,24,"[10, 14, 0, 0]",0.07234744710437926,2426,Navy,American Athletic,27,"[0, 0, 16, 8]",0.9276525528956208,4.6042706648,https://www.youtube.com/watch?v=LVI5o_-jevU,,
401234567,2020,3,regular,2020-09-19T16:00:00.000Z,False,False,True,,3982,Wallace Wade Stadium,150,Duke,ACC,6,"[6, 0, 0, 0]",,103,Boston College,ACC,26,"[7, 0, 16, 3]",,,https://www.youtube.com/watch?v=HCIhHlAFAZo,,
401234571,2020,3,regular,2020-09-19T16:00:00.000Z,False,False,True,,3752,Heinz Field,221,Pittsburgh,ACC,21,"[7, 7, 7, 0]",0.9854181706469385,183,Syracuse,ACC,10,"[3, 7, 0, 0]",0.014581829353061515,3.715638939,https://www.youtube.com/watch?v=8GPQR_kvbsM,,
401212541,2020,3,regular,2020-09-19T16:00:00.000Z,False,False,False,,3854,Nippert Stadium,2132,Cincinnati,American Athletic,55,"[14, 14, 14, 13]",0.9988253566451529,2046,Austin Peay,,20,"[3, 0, 3, 14]",0.0011746433548470714,1.1096572091,https://www.youtube.com/watch?v=2wgK8vIQAX0,,
401236041,2020,3,regular,2020-09-19T16:00:00.000Z,False,False,False,,3646,Boone Pickens Stadium,197,Oklahoma State,Big 12,16,"[3, 0, 0, 13]",0.5953293217331477,202,Tulsa,American Athletic,7,"[0, 7, 0, 0]",0.4046706782668523,6.4507386828,https://www.youtube.com/watch?v=Q7ogziRlGFY,,
401241282,2020,3,regular,2020-09-19T18:30:00.000Z,False,False,False,,3855,Notre Dame Stadium,87,Notre Dame,FBS Independents,52,"[14, 21, 10, 7]",0.9989649902004107,58,South Florida,American Athletic,0,"[0, 0, 0, 0]",0.0010350097995892593,1.2391030155,https://www.youtube.com/watch?v=DFt9HRKEMjQ,,
401240041,2020,3,regular,2020-09-19T19:30:00.000Z,False,False,False,,3604,Alamodome,2636,UT San Antonio,Conference USA,24,"[3, 14, 0, 7]",0.9159432797722261,2617,Stephen F. Austin,,10,"[0, 7, 3, 0]",0.08405672022777388,3.7329129012,https://www.youtube.com/watch?v=6vpHXRbmGoc,,
401236939,2020,3,regular,2020-09-19T19:30:00.000Z,False,False,False,,3775,Joan C. Edwards Stadium,276,Marshall,Conference USA,17,"[7, 3, 7, 0]",0.9298659550787015,2026,Appalachian State,Sun Belt,7,"[7, 0, 0, 0]",0.07013404492129849,7.114579305,https://www.youtube.com/watch?v=npkg4iCqwb0,,
401234568,2020,3,regular,2020-09-19T19:30:00.000Z,False,False,False,,721,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,21,"[7, 7, 0, 7]",0.11423799600126323,2116,UCF,American Athletic,49,"[7, 21, 0, 21]",0.8857620039987367,3.0977925754,https://www.youtube.com/watch?v=HM9hGkaFK9Q,,
401240640,2020,3,regular,2020-09-19T19:30:00.000Z,False,False,False,,3725,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Conference USA,14,"[7, 0, 0, 7]",0.004878827038166382,2653,Troy,Sun Belt,47,"[7, 19, 14, 7]",0.9951211729618337,3.3683983995,https://www.youtube.com/watch?v=9v2L1ymHENg,,
401237492,2020,3,regular,2020-09-19T20:00:00.000Z,False,False,False,,3836,Memorial Stadium,228,Clemson,ACC,49,"[28, 21, 0, 0]",0.9983095717522459,2643,The Citadel,,0,"[0, 0, 0, 0]",0.0016904282477541166,1.0102957486,https://www.youtube.com/watch?v=1NVx-H7DD-I,,
401207120,2020,3,regular,2020-09-19T22:00:00.000Z,False,False,False,,3825,Apogee Stadium,249,North Texas,Conference USA,35,"[0, 7, 14, 14]",0.09583068706071667,2567,SMU,American Athletic,65,"[21, 13, 21, 10]",0.9041693129392834,1.2213852656,https://www.youtube.com/watch?v=UB66Fxslll0,,
401215302,2020,3,regular,2020-09-19T23:30:00.000Z,False,False,True,,3817,Malone Stadium,2433,Louisiana Monroe,Sun Belt,17,"[7, 7, 3, 0]",0.0057971793059767235,326,Texas State,Sun Belt,38,"[14, 17, 0, 7]",0.9942028206940233,3.4710018172,https://www.youtube.com/watch?v=EvZ3r2jlYXE,,
401207106,2020,3,regular,2020-09-19T23:30:00.000Z,False,False,True,,3815,M. M. Roberts Stadium,2572,Southern Mississippi,Conference USA,30,"[0, 13, 14, 3]",0.3242881751063417,2348,Louisiana Tech,Conference USA,31,"[7, 3, 14, 7]",0.6757118248936582,5.5944485365,https://www.youtube.com/watch?v=saOif_KkA-Q,,
401234569,2020,3,regular,2020-09-19T23:30:00.000Z,False,False,True,,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,34,"[3, 3, 14, 14]",0.34564541935931925,2390,Miami,ACC,47,"[14, 6, 17, 10]",0.6543545806406807,3.5186606945,https://www.youtube.com/watch?v=thC8XALixU0,,
401234570,2020,3,regular,2020-09-20T00:00:00.000Z,False,False,True,,3670,Carter-Finley Stadium,152,NC State,ACC,45,"[14, 7, 14, 10]",0.40794649517674336,154,Wake Forest,ACC,42,"[7, 14, 14, 7]",0.5920535048232567,9.813293487,https://www.youtube.com/watch?v=UriCpKUUSKI,,
401239885,2020,3,regular,2020-09-20T01:00:00.000Z,False,False,False,,3946,Sun Bowl Stadium,2638,UTEP,Conference USA,17,"[0, 10, 0, 7]",0.6199715365866015,2000,Abilene Christian,,13,"[7, 0, 3, 3]",0.38002846341339847,5.6544768066,https://www.youtube.com/watch?v=XusNW9NxWTs,,
401207132,2020,4,regular,2020-09-24T23:30:00.000Z,False,False,False,,6526,Hancock Whitney Stadium,6,South Alabama,Sun Belt,10,"[0, 10, 0, 0]",0.004576888989687003,5,UAB,Conference USA,42,"[14, 14, 0, 14]",0.995423111010313,2.2304695652,https://www.youtube.com/watch?v=eUiXsotVFfg,,
401207134,2020,4,regular,2020-09-26T00:00:00.000Z,False,False,False,,3604,Alamodome,2636,UT San Antonio,Conference USA,37,"[0, 17, 17, 3]",0.027275889196149386,2393,Middle Tennessee,Conference USA,35,"[3, 7, 13, 12]",0.9727241108038506,7.2759253539,https://www.youtube.com/watch?v=fKrNkX5njMw,,
401237034,2020,4,regular,2020-09-26T16:00:00.000Z,False,False,True,,3785,Jordan-Hare Stadium,2,Auburn,SEC,29,"[8, 0, 7, 14]",0.9585101715706679,96,Kentucky,SEC,13,"[7, 0, 6, 0]",0.04148982842933213,6.4747765544,https://www.youtube.com/watch?v=Ayn4PO5nNhY,,
401215303,2020,4,regular,2020-09-26T16:00:00.000Z,False,False,True,,3666,Cajun Field,309,Louisiana,Sun Belt,20,"[0, 7, 3, 10]",0.18600359005489964,290,Georgia Southern,Sun Belt,18,"[0, 7, 3, 8]",0.8139964099451004,6.8051293194,https://www.youtube.com/watch?v=V3TeKps8HmE,,
401236253,2020,4,regular,2020-09-26T16:00:00.000Z,False,False,False,,3792,Kidd Brewer Stadium,2026,Appalachian State,Sun Belt,52,"[7, 10, 21, 14]",0.9742169199596715,2097,Campbell,,21,"[7, 6, 0, 8]",0.025783080040328477,2.1694747215,https://www.youtube.com/watch?v=mF7Em0MULmM,,
401234595,2020,4,regular,2020-09-26T16:00:00.000Z,False,False,True,,3752,Heinz Field,221,Pittsburgh,ACC,23,"[13, 7, 3, 0]",0.7919969600629284,97,Louisville,ACC,20,"[7, 10, 3, 0]",0.2080030399370716,7.1413906815,https://www.youtube.com/watch?v=yOFDQxoB9dA,,
401236952,2020,4,regular,2020-09-26T16:00:00.000Z,False,False,True,,3974,Vaught-Hemingway Stadium,145,Ole Miss,SEC,35,"[7, 7, 7, 14]",0.22929819161745088,57,Florida,SEC,51,"[14, 14, 13, 10]",0.7707018083825491,3.2136726644,https://www.youtube.com/watch?v=eONl1EyZwZA,,
401235996,2020,4,regular,2020-09-26T16:00:00.000Z,False,False,True,,3835,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,35,"[7, 14, 14, 0]",0.5064151754076845,2306,Kansas State,Big 12,38,"[0, 7, 14, 17]",0.49358482459231545,2.5534931328,https://www.youtube.com/watch?v=G_mCOVSc-kc,,
401212536,2020,4,regular,2020-09-26T16:00:00.000Z,False,False,True,,3699,Dowdy-Ficklen Stadium,151,East Carolina,American Athletic,28,"[7, 0, 7, 14]",0.05534266765213877,2116,UCF,American Athletic,51,"[10, 17, 14, 10]",0.9446573323478612,1.3759895565,https://www.youtube.com/watch?v=0nnLfNNcQo4,,
