_configuration,_id,_season,_week,_season_type,_start_date,_start_time_tbd,_neutral_site,_conference_game,_attendance,_venue_id,_venue,_home_id,_home_team,_home_conference,_home_points,_home_line_scores,_home_post_win_prob,_away_id,_away_team,_away_conference,_away_points,_away_line_scores,_away_post_win_prob,_excitement_index,_highlights,_notes,discriminator
<cfbd.configuration.Configuration object at 0x00000231BF3CA5E0>,322450213,2012,1,regular,2012-09-01T16:00:00.000Z,,False,False,97186,3632,Beaver Stadium,213,Penn State,Big Ten,14,"[7, 7, 0, 0]",0.5444602377037795,195,Ohio,Mid-American,24,"[0, 3, 14, 7]",0.4555397622962205,5.02978767673781,,,
<cfbd.configuration.Configuration object at 0x00000231BF3CABE0>,322450153,2012,1,regular,2012-09-01T16:30:00.000Z,,False,False,50500,3787,Kenan Memorial Stadium,153,North Carolina,ACC,62,"[14, 27, 21, 0]",0.9994305394815705,2210,Elon,,0,"[0, 0, 0, 0]",0.0005694605184295431,1.56776355233923,,,
<cfbd.configuration.Configuration object at 0x00000231BF3CF220>,322450006,2012,1,regular,2012-09-01T18:00:00.000Z,,False,False,17144,3797,Ladd Peebles Stadium,6,South Alabama,Sun Belt,31,"[7, 7, 3, 14]",0.9805276434636786,2636,UT San Antonio,Western Athletic,33,"[14, 6, 0, 13]",0.0194723565363214,1.96209346564353,,,
<cfbd.configuration.Configuration object at 0x00000231BF3CF820>,322452005,2012,1,regular,2012-09-01T18:00:00.000Z,,False,False,35282,3713,Falcon Stadium,2005,Air Force,Mountain West,49,"[7, 21, 14, 7]",0.9531472497465311,304,Idaho State,,21,"[0, 0, 14, 7]",0.04685275025346891,1.76775933471471,,,
<cfbd.configuration.Configuration object at 0x00000231BF3CFE20>,322450258,2012,1,regular,2012-09-01T19:00:00.000Z,,False,False,50081,3923,Scott Stadium,258,Virginia,ACC,43,"[16, 6, 7, 14]",0.9307574590033738,257,Richmond,,19,"[0, 6, 6, 7]",0.06924254099662619,3.42457620304758,,,
<cfbd.configuration.Configuration object at 0x00000231BF3D5460>,322450025,2012,1,regular,2012-09-01T19:00:00.000Z,,False,False,63186,3831,California Memorial Stadium,25,California,Pac-12,24,"[0, 7, 10, 7]",0.4313423550379716,2440,Nevada,Mountain West,31,"[14, 0, 7, 10]",0.5686576449620284,7.82312456170248,,,
<cfbd.configuration.Configuration object at 0x00000231BF3D5A60>,322450120,2012,1,regular,2012-09-01T19:00:00.000Z,,False,False,31321,3665,Maryland Stadium,120,Maryland,ACC,7,"[0, 0, 0, 7]",0.5070486277435168,2729,William & Mary,,6,"[6, 0, 0, 0]",0.4929513722564832,5.88741972039338,,,
<cfbd.configuration.Configuration object at 0x00000231BF3DC0A0>,322450158,2012,1,regular,2012-09-01T19:30:00.000Z,,False,False,85425,3834,Memorial Stadium,158,Nebraska,Big Ten,49,"[14, 14, 14, 7]",0.9344002091715161,2572,Southern Mississippi,Conference USA,20,"[7, 10, 0, 3]",0.06559979082848388,2.23385025287762,,,
<cfbd.configuration.Configuration object at 0x00000231BF3DC6A0>,322450275,2012,1,regular,2012-09-01T19:30:00.000Z,,False,False,79568,347,Camp Randall Stadium,275,Wisconsin,Big Ten,26,"[3, 10, 6, 7]",0.8717743993306244,2460,Northern Iowa,,21,"[0, 0, 7, 14]",0.1282256006693756,4.59519150024668,,,
<cfbd.configuration.Configuration object at 0x00000231BF3DCCA0>,322452509,2012,1,regular,2012-09-01T19:30:00.000Z,,False,False,40572,3907,Ross-Ade Stadium,2509,Purdue,Big Ten,48,"[13, 21, 7, 7]",0.9884403433910272,2198,Eastern Kentucky,,6,"[0, 6, 0, 0]",0.011559656608972846,2.0547504092973,,,
<cfbd.configuration.Configuration object at 0x00000231BF3DF2E0>,322450066,2012,1,regular,2012-09-01T19:30:00.000Z,,False,False,54931,3772,Jack Trice Stadium,66,Iowa State,Big 12,38,"[7, 17, 7, 7]",0.8395397530222812,202,Tulsa,Conference USA,23,"[16, 0, 0, 7]",0.16046024697771877,4.66046703325718,,,
