_season,_id,_name,_position,_team,_conference,_usage,discriminator
2014,549915,Turner Smiley,WR,North Texas,Conference USA,"{'overall': 0.0283, 'pass': 0.0597, 'rush': 0.0026, 'firstDown': 0.0324, 'secondDown': 0.033, 'thirdDown': 0.018, 'standardDowns': 0.028, 'passingDowns': 0.03}",
2014,531879,Carl Caldwell,WR,North Texas,Conference USA,"{'overall': 0.0283, 'pass': 0.0627, 'rush': 0, 'firstDown': 0.0129, 'secondDown': 0.033, 'thirdDown': 0.043, 'standardDowns': 0.015, 'passingDowns': 0.052}",
2014,505259,B.J. Chitty,WR,Troy,Sun Belt,"{'overall': 0.0282, 'pass': 0.0613, 'rush': 0, 'firstDown': 0.0179, 'secondDown': 0.033, 'thirdDown': 0.045, 'standardDowns': 0.026, 'passingDowns': 0.032}",
2014,530328,Tyler Cameron,QB,Wake Forest,ACC,"{'overall': 0.0282, 'pass': 0.0422, 'rush': 0.0119, 'firstDown': 0.0192, 'secondDown': 0.036, 'thirdDown': 0.038, 'standardDowns': 0.026, 'passingDowns': 0.032}",
2014,3123205,Vincent Lowe,RB,Old Dominion,Conference USA,"{'overall': 0.0282, 'pass': 0.0411, 'rush': 0.0099, 'firstDown': 0.0354, 'secondDown': 0.029, 'thirdDown': 0.015, 'standardDowns': 0.029, 'passingDowns': 0.026}",
2014,530441,J.P. Holtz,TE,Pittsburgh,ACC,"{'overall': 0.0281, 'pass': 0.0753, 'rush': 0, 'firstDown': 0.0259, 'secondDown': 0.027, 'thirdDown': 0.041, 'standardDowns': 0.024, 'passingDowns': 0.04}",
2014,500212,B.J. Bostic,RB,Georgia Tech,ACC,"{'overall': 0.0281, 'pass': 0.0284, 'rush': 0.0285, 'firstDown': 0.0286, 'secondDown': 0.029, 'thirdDown': 0.029, 'standardDowns': 0.027, 'passingDowns': 0.033}",
2014,511885,Clay Burton,TE,Florida,SEC,"{'overall': 0.0281, 'pass': 0.0687, 'rush': 0.002, 'firstDown': 0.0199, 'secondDown': 0.036, 'thirdDown': 0.037, 'standardDowns': 0.021, 'passingDowns': 0.042}",
2014,530645,Ashton Broyld,WR,Syracuse,ACC,"{'overall': 0.0281, 'pass': 0.0574, 'rush': 0, 'firstDown': 0.0175, 'secondDown': 0.041, 'thirdDown': 0.034, 'standardDowns': 0.025, 'passingDowns': 0.034}",
2014,512107,Sean McQuillan,TE,Connecticut,American Athletic,"{'overall': 0.0281, 'pass': 0.0562, 'rush': 0, 'firstDown': 0.0174, 'secondDown': 0.027, 'thirdDown': 0.04, 'standardDowns': 0.023, 'passingDowns': 0.037}",
2014,530527,Joel Caleb,WR,Virginia Tech,ACC,"{'overall': 0.028, 'pass': 0.0104, 'rush': 0.047, 'firstDown': 0.0312, 'secondDown': 0.023, 'thirdDown': 0.033, 'standardDowns': 0.038, 'passingDowns': 0.009}",
2014,537870,Avery Sweeting,WR,Georgia State,Sun Belt,"{'overall': 0.028, 'pass': 0.0418, 'rush': 0.0096, 'firstDown': 0.0213, 'secondDown': 0.045, 'thirdDown': 0.019, 'standardDowns': 0.021, 'passingDowns': 0.042}",
2014,552073,Andrew Vollert,TE,San José State,Mountain West,"{'overall': 0.028, 'pass': 0.0553, 'rush': 0, 'firstDown': 0.018, 'secondDown': 0.032, 'thirdDown': 0.034, 'standardDowns': 0.029, 'passingDowns': 0.026}",
2014,536503,Tyler Stehling,QB,Rice,Conference USA,"{'overall': 0.028, 'pass': 0.0511, 'rush': 0.0129, 'firstDown': 0.0231, 'secondDown': 0.029, 'thirdDown': 0.04, 'standardDowns': 0.026, 'passingDowns': 0.032}",
2014,3124518,Deron Thompson,RB,Colorado State,Mountain West,"{'overall': 0.0279, 'pass': 0, 'rush': 0.0618, 'firstDown': 0.0288, 'secondDown': 0.031, 'thirdDown': 0.019, 'standardDowns': 0.03, 'passingDowns': 0.025}",
2014,516354,Evan Crower,QB,Stanford,Pac-12,"{'overall': 0.0277, 'pass': 0.0607, 'rush': 0, 'firstDown': 0.0158, 'secondDown': 0.026, 'thirdDown': 0.063, 'standardDowns': 0.021, 'passingDowns': 0.042}",
2014,550807,Wyatt Houston,TE,Utah State,Mountain West,"{'overall': 0.0276, 'pass': 0.0607, 'rush': 0, 'firstDown': 0.0128, 'secondDown': 0.056, 'thirdDown': 0.016, 'standardDowns': 0.02, 'passingDowns': 0.042}",
2014,535461,Gunnar Holcombe,QB,Marshall,Conference USA,"{'overall': 0.0274, 'pass': 0.0448, 'rush': 0.012, 'firstDown': 0.0238, 'secondDown': 0.029, 'thirdDown': 0.04, 'standardDowns': 0.02, 'passingDowns': 0.045}",
2014,515471,Matt LaCosse,TE,Illinois,Big Ten,"{'overall': 0.0274, 'pass': 0.0487, 'rush': 0, 'firstDown': 0.0359, 'secondDown': 0.018, 'thirdDown': 0.027, 'standardDowns': 0.031, 'passingDowns': 0.02}",
