_id,_season,_week,_season_type,_home_team,_home_conference,_home_score,_away_team,_away_conference,_away_score,_lines,discriminator
400869252,2016,13,regular,Air Force,Mountain West,27,Boise State,Mountain West,20,"[{'provider': 'consensus', 'spread': '9', 'formattedSpread': 'Boise State -9', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '7.5', 'formattedSpread': 'Boise State -7.5', 'spreadOpen': None, 'overUnder': '64', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '7.5', 'formattedSpread': 'Boise State -7.5', 'spreadOpen': None, 'overUnder': '63.5', 'overUnderOpen': None}]",
400869568,2016,13,regular,Memphis,American Athletic,48,Houston,American Athletic,44,"[{'provider': 'consensus', 'spread': '3', 'formattedSpread': 'Houston -3', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '5.5', 'formattedSpread': 'Houston -5.5', 'spreadOpen': None, 'overUnder': '61.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '6', 'formattedSpread': 'Houston -6', 'spreadOpen': None, 'overUnder': '60.5', 'overUnderOpen': None}]",
400869340,2016,13,regular,Western Michigan,Mid-American,55,Toledo,Mid-American,35,"[{'provider': 'consensus', 'spread': '-9.5', 'formattedSpread': 'Western Michigan -9.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-7', 'formattedSpread': 'Western Michigan -7', 'spreadOpen': None, 'overUnder': '72', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-8', 'formattedSpread': 'Western Michigan -8', 'spreadOpen': None, 'overUnder': '71.5', 'overUnderOpen': None}]",
400869339,2016,13,regular,Kent State,Mid-American,21,Northern Illinois,Mid-American,31,"[{'provider': 'consensus', 'spread': '5', 'formattedSpread': 'Northern Illinois -5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '7', 'formattedSpread': 'Northern Illinois -7', 'spreadOpen': None, 'overUnder': '46', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '7', 'formattedSpread': 'Northern Illinois -7', 'spreadOpen': None, 'overUnder': '45.5', 'overUnderOpen': None}]",
400869497,2016,13,regular,North Carolina,ACC,21,NC State,ACC,28,"[{'provider': 'consensus', 'spread': '-10', 'formattedSpread': 'North Carolina -10', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-9.5', 'formattedSpread': 'North Carolina -9.5', 'spreadOpen': None, 'overUnder': '62.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-10', 'formattedSpread': 'North Carolina -10', 'spreadOpen': None, 'overUnder': '63', 'overUnderOpen': None}]",
400869338,2016,13,regular,Bowling Green,Mid-American,27,Buffalo,Mid-American,19,"[{'provider': 'consensus', 'spread': '-11', 'formattedSpread': 'Bowling Green -11', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-12', 'formattedSpread': 'Bowling Green -12', 'spreadOpen': None, 'overUnder': '60', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-11.5', 'formattedSpread': 'Bowling Green -11.5', 'spreadOpen': None, 'overUnder': '60', 'overUnderOpen': None}]",
400869073,2016,13,regular,Missouri,SEC,28,Arkansas,SEC,24,"[{'provider': 'consensus', 'spread': '7.5', 'formattedSpread': 'Arkansas -7.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '8', 'formattedSpread': 'Arkansas -8', 'spreadOpen': None, 'overUnder': '72', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '7.5', 'formattedSpread': 'Arkansas -7.5', 'spreadOpen': None, 'overUnder': '72', 'overUnderOpen': None}]",
400869632,2016,13,regular,Texas,Big 12,9,TCU,Big 12,31,"[{'provider': 'numberfire', 'spread': '-3', 'formattedSpread': 'Texas -3', 'spreadOpen': None, 'overUnder': '60.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-3', 'formattedSpread': 'Texas -3', 'spreadOpen': None, 'overUnder': '61', 'overUnderOpen': None}]",
400869418,2016,13,regular,Southern Mississippi,Conference USA,39,Louisiana Tech,Conference USA,24,"[{'provider': 'consensus', 'spread': '13.5', 'formattedSpread': 'Louisiana Tech -13.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '15', 'formattedSpread': 'Louisiana Tech -15', 'spreadOpen': None, 'overUnder': '70.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '14.5', 'formattedSpread': 'Louisiana Tech -14.5', 'spreadOpen': None, 'overUnder': '71.5', 'overUnderOpen': None}]",
400868885,2016,13,regular,Texas Tech,Big 12,54,Baylor,Big 12,35,"[{'provider': 'consensus', 'spread': '2.5', 'formattedSpread': 'Baylor -2.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '4', 'formattedSpread': 'Baylor -4', 'spreadOpen': None, 'overUnder': '84.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '4', 'formattedSpread': 'Baylor -4', 'spreadOpen': None, 'overUnder': '83', 'overUnderOpen': None}]",
400869567,2016,13,regular,Tulsa,American Athletic,40,Cincinnati,American Athletic,37,"[{'provider': 'consensus', 'spread': '-18.5', 'formattedSpread': 'Tulsa -18.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-23', 'formattedSpread': 'Tulsa -23', 'spreadOpen': None, 'overUnder': '62.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-22', 'formattedSpread': 'Tulsa -22', 'spreadOpen': None, 'overUnder': '63', 'overUnderOpen': None}]",
400869495,2016,12,regular,NC State,ACC,13,Miami,ACC,27,"[{'provider': 'numberfire', 'spread': '2.5', 'formattedSpread': 'Miami -2.5', 'spreadOpen': None, 'overUnder': '52', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '2.5', 'formattedSpread': 'Miami -2.5', 'spreadOpen': None, 'overUnder': '52', 'overUnderOpen': None}]",
400869068,2016,13,regular,Alabama,SEC,30,Auburn,SEC,12,"[{'provider': 'consensus', 'spread': '-20', 'formattedSpread': 'Alabama -20', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-18', 'formattedSpread': 'Alabama -18', 'spreadOpen': None, 'overUnder': '47', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-20.5', 'formattedSpread': 'Alabama -20.5', 'spreadOpen': None, 'overUnder': '47', 'overUnderOpen': None}]",
400869650,2016,13,regular,Ohio State,Big Ten,30,Michigan,Big Ten,27,"[{'provider': 'consensus', 'spread': '-7', 'formattedSpread': 'Ohio State -7', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-5', 'formattedSpread': 'Ohio State -5', 'spreadOpen': None, 'overUnder': '44.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-4.5', 'formattedSpread': 'Ohio State -4.5', 'spreadOpen': None, 'overUnder': '44.5', 'overUnderOpen': None}]",
400869074,2016,13,regular,Clemson,ACC,56,South Carolina,SEC,7,"[{'provider': 'consensus', 'spread': '-24.5', 'formattedSpread': 'Clemson -24.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-24.5', 'formattedSpread': 'Clemson -24.5', 'spreadOpen': None, 'overUnder': '50', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-27', 'formattedSpread': 'Clemson -27', 'spreadOpen': None, 'overUnder': '49.5', 'overUnderOpen': None}]",
